SITE,evap_anom,midsoil_anom,topsoil_anom,deepsoil_anom,Mean_cattle_density,s0_trend,sd_trend,ss_trend,e0_trend,c3_c4ratio,AHGF_FPC,Dryag_prop,Irriag_prop,racLdry_trend,EVItrend
1444,0.031022226,-0.268884667,-0.117581188,0.009817922,11.60625,-0.037691732,-0.09177332,-0.345333891,-0.016395178,0.350589379,0.01979,0.762893713,0,0.349605756,-0.001702365
1445,0.032447819,-0.391080885,-0.204989563,0.005593192,14.22305,-0.075779234,-0.075119113,-0.157540955,-0.01961514,0.274017688,0.03726,0.156484438,0,0.012373812,-0.000461334
1446,0.032447819,-0.391080885,-0.204989563,0.005593192,14.22305,-0.075779234,-0.075119113,-0.157540955,-0.01961514,0.274155329,0.04799,0.156484438,0,-0.042237838,-0.000780553
1447,0.032176514,-0.381265813,-0.161852452,0.003798469,61.50985,-0.085388257,-0.05434509,-0.11458451,-0.020511215,0.255273345,0.02276,0.456940518,0.077102868,0.091235926,-0.000985685
1448,0.03072601,-0.236985486,-0.111914009,0.00681594,71.76255,-0.049164798,-0.158000611,-0.599619614,-0.01610055,0.334104221,0.00063,0.046735487,0.00016048,-0.430301617,-0.002217621
1449,0.032447819,-0.391080885,-0.204989563,0.005593192,14.22305,-0.075779234,-0.075119113,-0.157540955,-0.01961514,0.270681748,0.01191,0.609438279,0,0.050366426,-0.000376672
1450,0.032447819,-0.391080885,-0.204989563,0.005593192,14.22305,-0.075779234,-0.075119113,-0.157540955,-0.01961514,0.274205405,0.03726,0.156484438,0,-0.042237838,-0.001228608
1451,0.033747608,-0.331477993,-0.176643578,0.005396222,12.06465,-0.062179367,-0.058233962,-0.115211014,-0.020613808,0.262419056,0.02389,0.69390229,0.076434953,-0.089306268,-0.001356461
1452,0.030643967,-0.255416029,-0.11350345,0.008584159,138.2355,-0.043616577,-0.085317226,-0.439212574,-0.017890651,0.334190999,0.05073,0.443916864,0,-0.427805225,-0.000313601
1453,0.032855459,-0.251670707,-0.118669844,-0.054069337,55.2116,-0.018391586,-0.664490095,-0.480858092,-0.014298339,0.303829545,0.07887,0.102997755,0,-0.009963033,-0.002926902
1454,0.031800051,-0.36306979,-0.181109125,0.007759305,11.00315,-0.05485749,-0.098248705,-0.237543836,-0.021123141,0.273989606,0.01785,0.246635294,0,0.129879478,-0.001255953
1455,0.033752711,-0.345676937,-0.175995282,0.009615637,14.3581,-0.061797577,-0.144097233,-0.277923538,-0.016700549,0.274044963,0.03726,0.156484438,0,-0.062667919,-0.000277992
1456,0.033752711,-0.345676937,-0.175995282,0.009615637,14.3581,-0.061797577,-0.144097233,-0.277923538,-0.016700549,0.27364316,0.03726,0.156484438,0,-0.398256065,-0.001150827
1457,0.031800051,-0.36306979,-0.181109125,0.007759305,11.00315,-0.05485749,-0.098248705,-0.237543836,-0.021123141,0.274062722,0.01785,0.246635294,0,-0.033228137,-0.000972861
1458,0.033752711,-0.345676937,-0.175995282,0.009615637,14.3581,-0.061797577,-0.144097233,-0.277923538,-0.016700549,0.270913725,0.04302,0.363607147,0,-0.049029324,-0.001456928
1459,0.033752711,-0.345676937,-0.175995282,0.009615637,14.3581,-0.061797577,-0.144097233,-0.277923538,-0.016700549,0.274142,0.07356,0.019579947,0,-0.430762442,-0.000812254
1460,0.0323769,-0.377557208,-0.193400429,0.003753937,19.4043,-0.075234074,-0.055796408,-0.088744301,-0.022971325,0.257652243,0.00728,0,0.681420822,0.269044324,2.15E-05
1461,0.031289482,-0.239980278,-0.115994026,0.008518904,131.725,-0.051217312,-0.132296226,-0.535888022,-0.015784742,0.325304004,0.06263,0.565770697,0,-0.31154036,-0.000774687
1462,0.031401378,-0.301693599,-0.160683377,0.006773194,6.75995,-0.04954798,-0.132177547,-0.459962436,-0.018335443,0.274302094,0.04478,0.461807158,0,-0.573472338,-0.000820018
1463,0.031926897,-0.432845355,-0.202560025,0.004480451,10.91575,-0.078863269,-0.074197423,-0.220438069,-0.021577036,0.270793676,0.09393,0.066015305,0,-0.202065919,-0.001654257
1464,0.031552953,-0.181584766,-0.100738667,-0.015520342,60.4276,-0.0256447,-0.405455902,-0.248215194,-0.011943117,0.30582299,0.11667,0.211038456,0.052691319,0.091239378,-0.000679892
1465,0.0297034,-0.344619092,-0.144269472,-0.001297578,8.17359,-0.037295015,-0.136494883,-0.756069672,-0.01565677,0.303590091,0.06124,0.555345226,0,-0.167913745,-0.002165476
1466,0.031537046,-0.397056259,-0.21478499,0.004727703,10.3671,-0.078971542,-0.067866505,-0.105328262,-0.020758391,0.274048514,0.0721,0.161681091,0.07268385,-0.023181807,-0.002031101
1467,0.030981854,-0.407661941,-0.160294649,0.003556323,10.4516,-0.0899831,-0.051769214,-0.072672121,-0.021535047,0.259636036,0.00864,0.782403514,0.064066653,-0.128056444,-0.001599087
1468,0.031921179,-0.327601082,-0.179705978,0.005490482,45.77685,-0.076405939,-0.071918402,-0.166350016,-0.019959011,0.256280681,0.05091,0.424573772,0.0218949,0.176209222,-0.000988554
1469,0.031552953,-0.181584766,-0.100738667,-0.015520342,60.4276,-0.0256447,-0.405455902,-0.248215194,-0.011943117,0.314196674,0.05559,0.195033413,0.18535763,0.159593862,-0.001677463
1470,0.031369515,-0.230125863,-0.106048534,0.004888321,133.8075,-0.02947318,-0.177399869,-0.503996012,-0.016468468,0.33457554,0.05073,0.443916864,0,-1.040658646,-0.001437553
1471,0.033752711,-0.345676937,-0.175995282,0.009615637,14.3581,-0.061797577,-0.144097233,-0.277923538,-0.016700549,0.270711205,0.01191,0.609438279,0,0.25987615,-0.000650145
1472,0.031369515,-0.230125863,-0.106048534,0.004888321,133.8075,-0.02947318,-0.177399869,-0.503996012,-0.016468468,0.349976461,0.01388,0.728403666,0,0.116423708,-0.001850467
1473,0.031537046,-0.397056259,-0.21478499,0.004727703,10.3671,-0.078971542,-0.067866505,-0.105328262,-0.020758391,0.274177984,0.0721,0.161681091,0.07268385,0.181681667,-0.001421946
1474,0.035297135,-0.317905278,-0.15514871,0.008380107,12.0465,-0.050877646,-0.126866794,-0.204205819,-0.018342868,0.262701422,0.02389,0.69390229,0.076434953,-0.253634279,-0.001142824
1475,0.031015079,-0.202592308,-0.104481997,0.001739529,111.1705,-0.037568256,-0.344432563,-0.343226587,-0.014320514,0.31542092,0.01971,0.625695682,0,-0.425281936,-0.000720557
1476,0.031926897,-0.432845355,-0.202560025,0.004480451,10.91575,-0.078863269,-0.074197423,-0.220438069,-0.021577036,0.270624017,0.09393,0.066015305,0,0.279168969,-0.001604438
1477,0.03265205,-0.259597606,-0.136980233,-0.013813161,7.52463,-0.030486251,-0.23548583,-0.47014918,-0.016637174,0.312160052,0.13155,0.270118108,0,0.176629359,-0.001151188
1478,0.031537046,-0.397056259,-0.21478499,0.004727703,10.3671,-0.078971542,-0.067866505,-0.105328262,-0.020758391,0.26560935,0.07852,0.008788761,0,0.350675644,-0.00159631
1479,0.031537046,-0.397056259,-0.21478499,0.004727703,10.3671,-0.078971542,-0.067866505,-0.105328262,-0.020758391,0.265702881,0.01025,0.766645984,0,0.400541929,-0.001321123
1480,0.030358971,-0.261368677,-0.124961212,0.009073221,11.68395,-0.043134704,-0.062545769,-0.352096508,-0.018735077,0.367607289,0.01067,0.767287869,0,0.045120289,-0.001580774
1481,0.0297034,-0.344619092,-0.144269472,-0.001297578,8.17359,-0.037295015,-0.136494883,-0.756069672,-0.01565677,0.327420839,0.2251,0,0,-0.658279041,-0.001584283
1482,0.031401378,-0.301693599,-0.160683377,0.006773194,6.75995,-0.04954798,-0.132177547,-0.459962436,-0.018335443,0.299338359,0.06564,0.394496026,0,0.110880422,-0.000340186
1483,0.031926897,-0.432845355,-0.202560025,0.004480451,10.91575,-0.078863269,-0.074197423,-0.220438069,-0.021577036,0.281721031,0.09393,0.066015305,0,-0.037797029,-0.001743933
1484,0.032162863,-0.377936195,-0.16577904,0.00375824,17.10705,-0.07532722,-0.053677005,-0.104768082,-0.020110646,0.258934883,0.05091,0.424573772,0.0218949,-0.308428663,-0.00084753
1485,0.031552953,-0.181584766,-0.100738667,-0.015520342,60.4276,-0.0256447,-0.405455902,-0.248215194,-0.011943117,0.307111382,0.05559,0.195033413,0.18535763,0.177945003,-0.000359603
1486,0.031289482,-0.239980278,-0.115994026,0.008518904,131.725,-0.051217312,-0.132296226,-0.535888022,-0.015784742,0.338391089,0.07689,0.081364678,0,-0.281796789,-0.000104295
1487,0.0297034,-0.344619092,-0.144269472,-0.001297578,8.17359,-0.037295015,-0.136494883,-0.756069672,-0.01565677,0.328216957,0.16771,0.175509151,0,0.107473575,-0.001416214
1488,0.03265205,-0.259597606,-0.136980233,-0.013813161,7.52463,-0.030486251,-0.23548583,-0.47014918,-0.016637174,0.311939982,0.13155,0.270118108,0,0.126139933,-0.000893399
1489,0.033752711,-0.345676937,-0.175995282,0.009615637,14.3581,-0.061797577,-0.144097233,-0.277923538,-0.016700549,0.284662328,0.0721,0.161681091,0.07268385,-0.353842435,-0.001548524
1490,0.033752711,-0.345676937,-0.175995282,0.009615637,14.3581,-0.061797577,-0.144097233,-0.277923538,-0.016700549,0.284234773,0.0721,0.161681091,0.07268385,0.107719009,-0.002056783
1491,0.031552953,-0.181584766,-0.100738667,-0.015520342,60.4276,-0.0256447,-0.405455902,-0.248215194,-0.011943117,0.313961308,0.0079,0.465613329,0.326751224,0.085550252,-0.001265739
1492,0.032855459,-0.251670707,-0.118669844,-0.054069337,55.2116,-0.018391586,-0.664490095,-0.480858092,-0.014298339,0.311668982,0.04887,0.590523416,0,0.283970543,-0.001282358
1493,0.031800051,-0.36306979,-0.181109125,0.007759305,11.00315,-0.05485749,-0.098248705,-0.237543836,-0.021123141,0.281924042,0.04376,0,0,0.063630953,-0.001317089
1494,0.031289482,-0.239980278,-0.115994026,0.008518904,131.725,-0.051217312,-0.132296226,-0.535888022,-0.015784742,0.327760256,0.10516,0,0,-0.168094518,-0.000699984
1495,0.031800051,-0.36306979,-0.181109125,0.007759305,11.00315,-0.05485749,-0.098248705,-0.237543836,-0.021123141,0.281914186,0.04298,0.051484256,0,-0.420893658,-0.000718877
1496,0.031552953,-0.181584766,-0.100738667,-0.015520342,60.4276,-0.0256447,-0.405455902,-0.248215194,-0.011943117,0.307043358,0.03755,0.124625446,0.171646866,-0.18658889,-0.00085681
1497,0.031552953,-0.181584766,-0.100738667,-0.015520342,60.4276,-0.0256447,-0.405455902,-0.248215194,-0.011943117,0.307050813,0.03755,0.124625446,0.171646866,-0.1172412,-0.000847494
1498,0.031015079,-0.202592308,-0.104481997,0.001739529,111.1705,-0.037568256,-0.344432563,-0.343226587,-0.014320514,0.314140158,0.01971,0.625695682,0,-0.005390286,-0.000555539
1499,0.031401378,-0.301693599,-0.160683377,0.006773194,6.75995,-0.04954798,-0.132177547,-0.459962436,-0.018335443,0.285277964,0.06564,0.000689878,0,-0.236240767,-0.000906375
1500,0.031800051,-0.36306979,-0.181109125,0.007759305,11.00315,-0.05485749,-0.098248705,-0.237543836,-0.021123141,0.281925766,0.04376,0,0,-0.099304642,-0.001565226
1501,0.031552953,-0.181584766,-0.100738667,-0.015520342,60.4276,-0.0256447,-0.405455902,-0.248215194,-0.011943117,0.307059364,0.03755,0.124625446,0.171646866,-0.063814174,-0.000574749
1502,0.031289482,-0.239980278,-0.115994026,0.008518904,131.725,-0.051217312,-0.132296226,-0.535888022,-0.015784742,0.336967543,0.10541,0.310004882,0,-0.281831473,-0.001293096
1503,0.031401378,-0.301693599,-0.160683377,0.006773194,6.75995,-0.04954798,-0.132177547,-0.459962436,-0.018335443,0.299806451,0.16671,0.000689878,0,0.021365577,-0.000728946
1504,0.031800051,-0.36306979,-0.181109125,0.007759305,11.00315,-0.05485749,-0.098248705,-0.237543836,-0.021123141,0.285597638,0.05917,0.076454843,0,-0.457859555,-0.000371319
1505,0.031800051,-0.36306979,-0.181109125,0.007759305,11.00315,-0.05485749,-0.098248705,-0.237543836,-0.021123141,0.285641904,0.05917,0.076454843,0,-0.457859555,-0.001079637
1506,0.031926897,-0.432845355,-0.202560025,0.004480451,10.91575,-0.078863269,-0.074197423,-0.220438069,-0.021577036,0.287960743,0.09393,0.066015305,0,0.196725192,-0.001993407
1507,0.030772957,-0.38608645,-0.203439637,0.004051309,10.29285,-0.080856694,-0.05950138,-0.09384158,-0.019518638,0.279069063,0.00864,0.782403514,0.064066653,-0.299122604,-0.002175236
1508,0.031552953,-0.181584766,-0.100738667,-0.015520342,60.4276,-0.0256447,-0.405455902,-0.248215194,-0.011943117,0.307087458,0.03755,0.124625446,0.171646866,-0.206099945,-0.000762492
1509,0.031552953,-0.181584766,-0.100738667,-0.015520342,60.4276,-0.0256447,-0.405455902,-0.248215194,-0.011943117,0.313919527,0.0079,0.465613329,0.326751224,0.283922832,-0.001662784
1510,0.031401378,-0.301693599,-0.160683377,0.006773194,6.75995,-0.04954798,-0.132177547,-0.459962436,-0.018335443,0.299963003,0.16671,0.000689878,0,0.235192705,-0.000872263
1511,0.031800051,-0.36306979,-0.181109125,0.007759305,11.00315,-0.05485749,-0.098248705,-0.237543836,-0.021123141,0.282001876,0.04298,0.051484256,0,-0.194620382,-0.00088061
1512,0.032404342,-0.28410687,-0.160658516,0.007749892,26.3516,-0.061782047,-0.11671752,-0.337890518,-0.017737082,0.263896746,0.01214,0.687689893,0.068351066,-0.336616246,-0.001630248
1513,0.031552953,-0.181584766,-0.100738667,-0.015520342,60.4276,-0.0256447,-0.405455902,-0.248215194,-0.011943117,0.306877564,0.0079,0.465613329,0.326751224,-0.209498324,-0.001325521
